,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
33,Dion Waiters,LAL,28,6-3,210,Syracuse,USA,2012,1,4,10,11.1,2.4,2.0,7.8,0.9%,10.2%,24.3%,52.1%,15.6%
34,Domantas Sabonis,IND,24,6-11,240,Gonzaga,Lithuania,2016,1,11,62,18.5,12.4,5.0,3.1,8.9%,26.2%,22.9%,58.6%,21.5%
35,Donovan Mitchell,UTA,23,6-1,215,Louisville,USA,2017,1,13,69,24.0,4.4,4.3,2.6,2.3%,10.1%,30.3%,55.8%,21.4%
36,Donta Hall,BKN,22,6-9,229,Alabama,USA,Undrafted,Undrafted,Undrafted,9,4.3,4.2,0.4,-12.0,9.3%,19.7%,10.9%,65.2%,4.8%
37,Donte DiVincenzo,MIL,23,6-4,203,Villanova,USA,2018,1,17,66,9.2,4.8,2.3,12.2,4.1%,14.0%,16.8%,55.7%,13.4%
38,Dorian Finney-Smith,DAL,27,6-7,220,Florida,USA,Undrafted,Undrafted,Undrafted,71,9.5,5.7,1.6,6.5,6.6%,11.3%,12.8%,59.5%,7.3%
39,Doug McDermott,IND,28,6-7,225,Creighton,USA,2014,1,11,69,10.3,2.5,1.1,3.2,1.8%,9.8%,18.6%,62.0%,8.1%
40,Dragan Bender,GSW,22,7-0,249,None,Croatia,2016,1,4,16,6.7,4.6,1.8,1.1,6.0%,18.3%,18.0%,54.5%,14.2%
41,Draymond Green,GSW,30,6-6,230,Michigan State,USA,2012,2,35,43,8.0,6.2,6.2,-7.2,1.8%,19.2%,15.6%,48.9%,31.0%
42,Drew Eubanks,SAS,23,6-9,245,Oregon State,USA,Undrafted,Undrafted,Undrafted,22,4.9,3.9,0.7,-11.0,9.9%,20.3%,15.0%,68.2%,8.9%
43,Duncan Robinson,MIA,26,6-7,215,Michigan,USA,Undrafted,Undrafted,Undrafted,73,13.5,3.2,1.4,7.5,0.5%,9.9%,15.7%,68.4%,6.8%
44,Dusty Hannahs,MEM,26,6-3,210,Arkansas,USA,2017,,,2,6.0,0.5,0.0,17.2,0.0%,6.3%,28.6%,60.7%,0.0%
45,Dwayne Bacon,CHA,24,6-6,221,Florida State,USA,2017,2,40,39,5.7,2.6,1.3,-8.2,2.0%,12.4%,18.9%,41.9%,12.1%
46,Dwight Howard,LAL,34,6-10,265,None,USA,2004,1,1,69,7.5,7.3,0.7,5.9,12.8%,25.7%,14.6%,69.6%,4.8%
47,Dwight Powell,DAL,28,6-10,240,Stanford,Canada,2014,2,45,40,9.4,5.7,1.5,8.9,7.1%,13.2%,12.6%,67.7%,7.6%
48,Dzanan Musa,BKN,21,6-9,217,None,Bosnia and He...,2018,1,29,40,4.8,2.2,1.1,-2.5,3.9%,11.7%,19.3%,48.4%,13.1%
49,E'Twaun Moore,NOP,31,6-3,191,Purdue,USA,2011,2,55,56,8.3,2.3,1.4,-2.2,2.7%,9.5%,19.6%,51.0%,11.0%
