,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
29,Rodions Kurucs,BKN,22,6-9,228,None,Latvia,2018,2,40,47,4.6,2.9,1.1,-1.4,3.3%,14.1%,14.2%,55.5%,10.5%
30,Rodney Hood,POR,27,6-8,208,Duke,USA,2014,1,23,21,11.0,3.4,1.5,0.6,1.5%,9.2%,13.7%,62.5%,6.8%
31,Rodney McGruder,LAC,28,6-4,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,56,3.3,2.7,0.6,0.8,3.2%,12.3%,10.1%,47.7%,5.5%
32,Romeo Langford,BOS,20,6-4,216,Indiana,USA,2019,1,14,32,2.5,1.3,0.4,8.9,3.8%,6.5%,11.3%,43.4%,4.5%
33,Rondae Hollis-Jefferson,TOR,25,6-6,217,Arizona,USA,2015,1,23,60,7.0,4.7,1.8,4.2,8.9%,14.3%,16.4%,53.3%,14.1%
34,Royce O'Neale,UTA,27,6-4,226,Baylor,USA,Undrafted,Undrafted,Undrafted,71,6.3,5.5,2.5,5.2,1.4%,16.5%,9.5%,57.8%,11.6%
35,Rudy Gay,SAS,33,6-8,250,Connecticut,USA,2006,1,8,67,10.8,5.4,1.7,0.2,4.0%,19.4%,21.1%,55.3%,11.6%
36,Rudy Gobert,UTA,28,7-1,258,None,France,2013,1,27,68,15.1,13.5,1.5,6.2,10.4%,27.6%,16.2%,69.9%,6.5%
37,Rui Hachimura,WAS,22,6-8,230,Gonzaga,Japan,2019,1,9,48,13.5,6.1,1.8,-8.2,5.1%,15.5%,18.9%,53.5%,8.8%
38,Russell Westbrook,HOU,31,6-3,200,UCLA,USA,2008,1,4,57,27.2,7.9,7.0,3.1,4.4%,15.7%,33.0%,53.6%,34.0%
39,Ryan Anderson,HOU,32,6-9,240,California,USA,2008,1,21,2,2.5,3.5,1.0,21.2,0.0%,46.7%,24.2%,35.7%,16.7%
40,Ryan Arcidiacono,CHI,26,6-3,195,Villanova,USA,Undrafted,Undrafted,Undrafted,58,4.5,1.9,1.7,-4.0,1.9%,9.8%,12.1%,55.1%,14.3%
41,Ryan Broekhoff,PHI,29,6-6,215,Valparaiso,Australia,Undrafted,Undrafted,Undrafted,17,4.2,2.5,0.6,2.1,2.5%,20.2%,15.5%,56.8%,8.3%
42,Sekou Doumbouya,DET,19,6-8,230,None,France,2019,1,15,38,6.4,3.1,0.5,-10.8,2.6%,13.7%,16.4%,47.4%,3.7%
43,Semi Ojeleye,BOS,25,6-6,240,Southern Methodist,USA,2017,2,37,69,3.4,2.1,0.5,-1.5,2.4%,10.9%,9.4%,56.2%,5.1%
44,Serge Ibaka,TOR,30,7-0,235,None,Republic of t...,2008,1,24,55,15.4,8.2,1.4,3.1,7.5%,20.5%,23.6%,58.3%,8.6%
45,Seth Curry,DAL,29,6-2,185,Duke,USA,Undrafted,Undrafted,Undrafted,64,12.4,2.3,1.9,3.4,1.6%,7.0%,17.6%,64.3%,11.7%
46,Shabazz Napier,WAS,28,6-0,175,Connecticut,USA,2014,1,24,56,10.3,2.8,4.7,-3.6,1.8%,10.0%,19.7%,55.2%,29.5%
47,Shai Gilgeous-Alexander,OKC,21,6-5,180,Kentucky,Canada,2018,1,11,70,19.0,5.9,3.3,3.5,2.0%,14.6%,23.5%,56.8%,14.8%
48,Shake Milton,PHI,23,6-5,205,Southern Methodist,USA,2018,2,54,40,9.4,2.2,2.6,0.1,1.8%,9.3%,18.6%,61.7%,18.2%
49,Shamorie Ponds,TOR,22,6-0,175,"St. John's, N.Y.",USA,Undrafted,Undrafted,Undrafted,4,2.3,0.3,0.5,-5.5,0.0%,16.7%,22.2%,76.5%,40.0%
